onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.51927413	0	Control	./Sounds/clock_CTRL.wav	3.3034826	3.9894826	1	noise
8.31933483	0	Experimental	./Sounds/Woodpckr.wav	10.4023625	11.7983625	0	don't know
15.40198293	0	Experimental	./Sounds/Ocean.wav	22.1863561	23.0093561	1	waves
27.18672693	0	Control	./Sounds/chicken_CTRL.wav	28.7855528	29.5035528	1	noise
33.78563703	0	Control	./Sounds/piano_CTRL.wav	35.8859351	36.9099351	1	noise
40.88587913	0	Experimental	./Sounds/GARGLING.wav	43.8683136	44.7663136	1	gargle
48.86809233	0	Control	./Sounds/Crow_CTRL.wav	51.9680296	52.5450296	1	noise
56.96955733	0	Control	./Sounds/Motorcyc_CTRL.wav	61.7025981	62.1955981	1	noise
66.70260923	0	Experimental	./Sounds/frog.wav	68.3014187	69.2224187	1	frog
73.30312593	0	Control	./Sounds/bicycle_CTRL.wav	75.2024873	76.0114873	1	noise
80.20247843	0	Control	./Sounds/TELEPHON_CTRL.wav	82.8019491	83.3869491	1	noise
87.80131933	0	Experimental	./Sounds/SNEEZE.wav	89.6822384	90.2092384	1	sneeze
94.68618393	0	Control	./Sounds/gong_CTRL.wav	96.6862421	97.2892421	1	noise
101.7046267	0	Experimental	./Sounds/Airplane.wav	106.1014067	106.7784067	1	plane
111.1027686	0	Experimental	./Sounds/guitar.wav	112.8021207	113.7181207	1	guitar
117.8012906	0	Control	./Sounds/Baskball_CTRL.wav	121.1357979	121.7207979	1	noise
126.1353658	0	Control	./Sounds/SAX_CTRL.wav	131.851797	132.623797	1	noise
136.8534277	0	Experimental	./Sounds/whip.wav	138.852348	139.575348	1	whip
143.8523213	0	Experimental	./Sounds/HARP.wav	147.0355317	147.7055317	0	chime
152.0363211	0	Control	./Sounds/SNEEZE_CTRL.wav	153.8191656	154.6591656	1	noise
158.8196969	0	Experimental	./Sounds/turkey.wav	160.319658	162.056658	0	don't know
165.3195754	0	Experimental	./Sounds/SCREAM.wav	167.2022116	167.7562116	1	scream
172.2017872	0	Control	./Sounds/tambourine_CTRL.wav	174.3025031	174.9975031	1	noise
179.3195376	0	Experimental	./Sounds/BOWLING.wav	185.3198956	185.9998956	1	bowling
190.3199609	0	Control	./Sounds/guitar_CTRL.wav	191.8197384	192.5437384	1	noise
196.8206426	0	Experimental	./Sounds/Motorcyc.wav	201.4524475	202.1724475	1	motorbike
206.4528453	0	Control	./Sounds/snore_CTRL.wav	208.1526317	208.8946317	1	noise
213.1522682	0	Experimental	./Sounds/ZIPPER.wav	215.6862186	216.2212186	1	zipper
220.6863861	0	Experimental	./Sounds/Crow.wav	224.3858779	225.7858779	0	bird
229.4022006	0	Control	./Sounds/Sandpapr_CTRL.wav	231.8525852	232.5495852	1	noise
236.8527581	0	Experimental	./Sounds/helicopter.wav	238.9524273	239.9534273	1	helicopter
243.9531138	0	Control	./Sounds/DONKEY_CTRL.wav	247.1197188	247.6837188	1	noise
252.1198216	0	Control	./Sounds/helicopter_CTRL.wav	254.3192244	254.7982244	1	noise
259.3195541	0	Experimental	./Sounds/Baskball.wav	263.2520323	264.2290323	1	ball
268.2526359	0	Control	./Sounds/SCREAM_CTRL.wav	270.1355794	270.8495794	1	noise
275.1364576	0	Control	./Sounds/Woodpckr_CTRL.wav	277.3193855	277.9753855	1	noise
282.3199509	0	Experimental	./Sounds/BURP.wav	283.9696631	284.6846631	1	burp
288.969702	0	Control	./Sounds/Toilet_CTRL.wav	294.1541764	294.9091764	1	noise
299.1529089	0	Control	./Sounds/frog_CTRL.wav	301.252576	301.762576	1	noise
306.2527355	0	Experimental	./Sounds/TRUMPET.wav	309.2360567	309.9550567	1	trumpet
314.2354734	0	Control	./Sounds/THUNDER_CTRL.wav	318.9515352	319.9795352	1	noise
323.9527523	0	Experimental	./Sounds/footsteps.wav	325.6535321	326.7815321	1	footsteps
330.6521168	0	Experimental	./Sounds/SHEEP.wav	332.985349	333.978349	1	goat
337.9859293	0	Control	./Sounds/Airplane_CTRL.wav	342.4865444	343.1595444	1	noise
347.4857431	0	Experimental	./Sounds/Sandpapr.wav	350.1361272	350.7831272	0	saw
355.1366126	0	Control	./Sounds/DUCK_CTRL.wav	359.3197347	360.0047347	1	noise
364.3363424	0	Experimental	./Sounds/Clapping.wav	367.8196944	368.7586944	1	clapping
372.81995	0	Experimental	./Sounds/monkey.wav	374.7184883	375.5074883	1	monkey
379.7198201	0	Control	./Sounds/Bagpipes_CTRL.wav	383.6866935	384.3426935	1	noise
388.6860408	0	Experimental	./Sounds/DUCK.wav	392.6863445	394.3333445	0	don't know
