onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.51920967	0	Experimental	./Sounds/bicycle.wav	3.1183855	3.9073855	1
8.11962457	0	Experimental	./Sounds/turkey.wav	10.4188984	11.4348984	0
15.41937947	0	Control	./Sounds/bicycle_CTRL.wav	17.1190868	17.6900868	1
22.11966897	0	Experimental	./Sounds/Crow.wav	25.5185109	26.1625109	1
30.51951417	0	Experimental	./Sounds/Bagpipes.wav	34.086048	36.150048	0
39.08615687	0	Control	./Sounds/parrot_CTRL.wav	41.3862225	42.1172225	1
46.38600637	0	Experimental	./Sounds/clock.wav	48.5863504	49.6423504	1
53.58623097	0	Experimental	./Sounds/Motorcyc.wav	58.0189131	58.6789131	1
63.01947657	0	Control	./Sounds/HARP_CTRL.wav	65.6025925	66.0205925	1
70.61937187	0	Control	./Sounds/snore_CTRL.wav	72.6190825	73.2550825	1
77.61966787	0	Experimental	./Sounds/TRUMPET.wav	80.5019979	80.9999979	1
85.50134757	0	Experimental	./Sounds/snore.wav	87.2027814	87.6847814	1
92.20165277	0	Control	./Sounds/TRUMPET_CTRL.wav	94.8852575	95.4422575	1
99.88609107	0	Experimental	./Sounds/SHEEP.wav	101.8178739	102.2558739	1
106.8361111	0	Experimental	./Sounds/SAX.wav	113.4529566	114.0229566	1
118.4520006	0	Control	./Sounds/Whistle_CTRL.wav	120.3344705	120.9344705	1
125.3356135	0	Control	./Sounds/SCREAM_CTRL.wav	127.4183803	127.8493803	1
132.4187196	0	Experimental	./Sounds/Airplane.wav	137.5176636	138.4406636	1
142.51846	0	Control	./Sounds/HARMONCA_CTRL.wav	147.7693417	148.5213417	1
152.7666586	0	Control	./Sounds/Baskball_CTRL.wav	156.4019607	156.9999607	1
161.4189257	0	Experimental	./Sounds/DONKEY.wav	164.6852862	165.2772862	1
169.7017319	0	Control	./Sounds/Clapping_CTRL.wav	172.3851786	173.1781786	1
177.3856398	0	Experimental	./Sounds/gong.wav	179.4842028	180.0172028	1
184.4866451	0	Control	./Sounds/SHEEP_CTRL.wav	186.7195824	187.3385824	1
191.7187131	0	Control	./Sounds/piano_CTRL.wav	193.8194762	194.2714762	1
198.8196661	0	Experimental	./Sounds/Baskball.wav	202.552186	203.015186	1
207.5496594	0	Experimental	./Sounds/VIOLIN.wav	212.5024281	213.0564281	1
217.5026716	0	Control	./Sounds/Woodpckr_CTRL.wav	219.9861375	220.5301375	1
224.9862821	0	Control	./Sounds/Ocean_CTRL.wav	232.2664307	232.9844307	1
237.2694754	0	Experimental	./Sounds/parrot.wav	239.669158	240.407158	0
244.6693614	0	Experimental	./Sounds/TELEPHON.wav	247.5698487	248.0178487	1
252.5695645	0	Control	./Sounds/ROOSTER_CTRL.wav	255.3689279	255.9959279	1
260.3694724	0	Experimental	./Sounds/SNEEZE.wav	261.9529674	262.4289674	1
266.9529839	0	Experimental	./Sounds/chicken.wav	268.6523941	269.3933941	1
273.6527603	0	Control	./Sounds/BURP_CTRL.wav	275.3029391	276.0149391	1
280.3027459	0	Control	./Sounds/monkey_CTRL.wav	282.0024531	283.0184531	1
287.003151	0	Experimental	./Sounds/BURP.wav	288.7530989	289.3590989	1
293.7532494	0	Control	./Sounds/chicken_CTRL.wav	295.8527821	296.6547821	1
300.8529563	0	Control	./Sounds/gong_CTRL.wav	302.4527581	303.0117581	1
307.4529432	0	Experimental	./Sounds/ZIPPER.wav	309.2865972	309.8305972	1
314.2845806	0	Control	./Sounds/LION_CTRL.wav	317.6530867	318.0160867	1
322.6528809	0	Control	./Sounds/TELEPHON_CTRL.wav	325.0530516	325.5150516	1
330.0526617	0	Experimental	./Sounds/footsteps.wav	331.6529947	332.2659947	1
336.6529744	0	Control	./Sounds/Toilet_CTRL.wav	342.0363352	342.7403352	1
347.0365593	0	Control	./Sounds/Crow_CTRL.wav	350.0529229	350.6919229	1
355.0531497	0	Experimental	./Sounds/BOWLING.wav	361.0534033	361.8594033	1
366.0525369	0	Control	./Sounds/Sawing_CTRL.wav	368.8531529	369.6801529	1
373.8530204	0	Control	./Sounds/GARGLING_CTRL.wav	377.1362366	377.9222366	1
382.136419	0	Experimental	./Sounds/monkey.wav	383.6343223	384.5693223	1
388.6350215	0	Control	./Sounds/whip_CTRL.wav	390.4350792	391.0170792	1
