onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.52807274	0	Control	./Sounds/Scale_CTRL.wav	4.8487124	5.4057124	1
9.84856864	0	Control	./Sounds/Camel_CTRL.wav	14.4644828	15.1684828	1
19.46495664	0	Experimental	./Sounds/Straw.wav	23.0638899	23.4038899	1
28.06443274	0	Control	./Sounds/Sharpen_CTRL.wav	32.3808489	33.1358489	1
37.38114194	0	Control	./Sounds/Pilot_CTRL.wav	40.1146399	40.8296399	1
45.11511184	0	Experimental	./Sounds/Tattoo.wav	49.4814808	49.9174808	1
54.48144654	0	Control	./Sounds/Petrol_CTRL.wav	57.2140926	57.9500926	1
62.21529074	0	Experimental	./Sounds/Atlas.wav	65.2647296	66.9207296	0
70.26559844	0	Experimental	./Sounds/Yolk.wav	73.364737	74.027737	1
78.36522264	0	Control	./Sounds/Menu_CTRL.wav	81.6480653	82.2120653	1
86.64862404	0	Experimental	./Sounds/Petrol.wav	89.7813722	90.3083722	1
94.78240334	0	Experimental	./Sounds/Grass.wav	97.8981903	98.6701903	0
102.8983726	0	Control	./Sounds/Tattoo_CTRL.wav	106.9486193	107.6006193	1
111.9488128	0	Experimental	./Sounds/Ruler.wav	117.2316979	117.7326979	1
122.2310006	0	Experimental	./Sounds/Cactus.wav	125.7985689	126.4535689	1
130.7977623	0	Control	./Sounds/Elbow_CTRL.wav	134.0647722	134.8507722	1
139.065126	0	Experimental	./Sounds/Kitchen.wav	142.2981596	142.8391596	1
147.2825403	0	Experimental	./Sounds/Scale.wav	150.8152113	151.6052113	0
155.8153319	0	Control	./Sounds/Ax_CTRL.wav	158.8648036	159.4368036	1
163.865468	0	Experimental	./Sounds/Menu.wav	167.6487773	168.1507773	1
172.6485863	0	Experimental	./Sounds/Bridge.wav	176.83194	177.33394	1
181.8322322	0	Control	./Sounds/Dictionary_CTRL.wav	185.8486029	186.4606029	1
190.8489501	0	Experimental	./Sounds/Telescope.wav	194.2147497	194.6567497	1
199.1984697	0	Control	./Sounds/Calf_CTRL.wav	201.865403	202.542403	1
206.865404	0	Control	./Sounds/Ruler_CTRL.wav	211.8482577	212.5452577	1
216.8479287	0	Experimental	./Sounds/Dragon.wav	220.9650324	221.6760324	1
225.9656717	0	Control	./Sounds/Library_CTRL.wav	229.0985789	230.0545789	1
234.1005836	0	Control	./Sounds/Atlas_CTRL.wav	237.1491549	238.0121549	1
242.1489233	0	Experimental	./Sounds/Thermometer.wav	245.1152431	245.7372431	1
250.1157441	0	Experimental	./Sounds/Crown.wav	252.8487126	253.4947126	1
257.8483132	0	Control	./Sounds/Wrinkle_CTRL.wav	262.0990973	262.7040973	1
267.0991992	0	Experimental	./Sounds/Submarine.wav	271.3486947	271.7946947	1
276.3491143	0	Experimental	./Sounds/Kite.wav	281.1315675	281.7805675	1
286.1319775	0	Control	./Sounds/Straw_CTRL.wav	290.1321554	290.7581554	1
295.1314334	0	Experimental	./Sounds/Wrinkle.wav	299.2822477	299.8512477	1
304.2824845	0	Experimental	./Sounds/Blizzard.wav	307.6816891	308.7916891	0
312.6819893	0	Control	./Sounds/Kitchen_CTRL.wav	316.3156966	317.3126966	1
321.3158437	0	Experimental	./Sounds/Microphone.wav	325.9119682	326.4129682	1
330.9120741	0	Control	./Sounds/Goggles_CTRL.wav	334.7285298	335.3375298	1
339.728488	0	Control	./Sounds/Yolk_CTRL.wav	342.2284781	343.0014781	1
347.2284271	0	Experimental	./Sounds/Crust.wav	351.2951788	351.7891788	1
356.2954851	0	Control	./Sounds/Bridge_CTRL.wav	360.1649388	361.0119388	1
365.1653873	0	Control	./Sounds/Telescope_CTRL.wav	368.7151299	369.4241299	1
373.7156317	0	Experimental	./Sounds/Casino.wav	377.1820424	377.7690424	0
382.1822613	0	Experimental	./Sounds/Escalator.wav	385.3618481	385.9598481	1
390.3656415	0	Control	./Sounds/Dragon_CTRL.wav	394.3821861	395.0261861	1
399.3824051	0	Experimental	./Sounds/Scarf.wav	403.3315454	403.8035454	1
408.3322286	0	Experimental	./Sounds/Boil.wav	412.8821578	414.9771578	0
417.8824477	0	Control	./Sounds/Cactus_CTRL.wav	421.5486405	422.0206405	1
426.5496493	0	Experimental	./Sounds/Mustache.wav	431.2646831	431.8256831	1
