onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.51281169	0	Experimental	./Sounds/Umbrella.wav	5.6879928	6.0069928	1
10.71094909	0	Control	./Sounds/Ax_CTRL.wav	13.6749008	13.9839008	1
18.66760459	0	Control	./Sounds/Scale_CTRL.wav	21.7959704	22.3509704	1
26.79640009	0	Experimental	./Sounds/Thermometer.wav	29.7711999	30.2171999	1
34.78667019	0	Control	./Sounds/Island_CTRL.wav	38.1338498	38.7928498	1
43.14355289	0	Control	./Sounds/Kite_CTRL.wav	47.8427216	48.3757216	1
52.85276559	0	Experimental	./Sounds/Razor.wav	55.757804	56.340804	1
60.75266359	0	Experimental	./Sounds/Envelope.wav	64.5443477	65.1433477	1
69.56158659	0	Control	./Sounds/Boil_CTRL.wav	74.305042	74.592042	1
79.31854189	0	Experimental	./Sounds/Cactus.wav	82.9083017	83.2893017	1
87.92626489	0	Experimental	./Sounds/Blizzard.wav	91.6301415	92.5731415	0
96.62973719	0	Control	./Sounds/Menu_CTRL.wav	100.1131492	100.7401492	1
105.1131135	0	Control	./Sounds/Napkin_CTRL.wav	108.7050398	109.1210398	1
113.7183729	0	Experimental	./Sounds/Submarine.wav	117.3778542	117.9688542	1
122.3857378	0	Control	./Sounds/Sharpen_CTRL.wav	126.7118431	127.2058431	1
131.7201469	0	Control	./Sounds/Straw_CTRL.wav	135.1359076	136.0449076	1
140.1610871	0	Experimental	./Sounds/Dishwasher.wav	144.8828276	145.3088276	1
149.8950442	0	Control	./Sounds/Pillow_CTRL.wav	153.3503797	154.1003797	1
158.353535	0	Experimental	./Sounds/Island.wav	161.8885823	162.2395823	1
166.9100317	0	Control	./Sounds/Library_CTRL.wav	170.1675695	170.7585695	1
175.152606	0	Experimental	./Sounds/Elbow.wav	178.1338956	178.6048956	1
183.143839	0	Experimental	./Sounds/Camel.wav	187.2851927	187.9811927	1
192.3028389	0	Control	./Sounds/Penguin_CTRL.wav	195.9587425	196.4427425	1
200.9690041	0	Experimental	./Sounds/Casino.wav	204.8504349	205.2824349	0
209.8785426	0	Control	./Sounds/Goggles_CTRL.wav	213.3069151	213.9309151	1
218.3275293	0	Experimental	./Sounds/Kite.wav	222.8277149	223.8987149	1
227.8371658	0	Control	./Sounds/Ruler_CTRL.wav	232.626929	233.347929	1
237.6531639	0	Control	./Sounds/Crown_CTRL.wav	241.191622	241.578622	1
246.1798519	0	Experimental	./Sounds/Telescope.wav	249.2519069	249.7459069	1
254.251874	0	Experimental	./Sounds/Claw.wav	258.571603	259.011603	1
263.5952672	0	Control	./Sounds/Microphone_CTRL.wav	267.901781	268.550781	1
272.9114927	0	Experimental	./Sounds/Library.wav	276.5655116	277.1205116	1
281.5551656	0	Experimental	./Sounds/Petrol.wav	284.8009614	285.3219614	1
289.7936939	0	Control	./Sounds/Bridge_CTRL.wav	294.1832666	294.5892666	1
299.1884313	0	Experimental	./Sounds/Escalator.wav	302.3717764	302.7827764	1
307.3719529	0	Experimental	./Sounds/Penguin.wav	311.3213054	311.7603054	1
316.3218042	0	Control	./Sounds/Tattoo_CTRL.wav	320.5802358	320.9282358	1
325.5802229	0	Control	./Sounds/Dishwasher_CTRL.wav	330.196958	330.768958	1
335.2120821	0	Experimental	./Sounds/Picnic.wav	338.0999307	338.5869307	1
343.1109093	0	Control	./Sounds/Dictionary_CTRL.wav	347.144638	347.602638	1
352.1621715	0	Control	./Sounds/Puddle_CTRL.wav	355.1191145	355.7231145	1
360.128907	0	Experimental	./Sounds/Wrinkle.wav	363.6860663	364.6950663	1
368.7031805	0	Control	./Sounds/Thermometer_CTRL.wav	372.2661855	372.5621855	1
377.2948582	0	Control	./Sounds/Root_CTRL.wav	380.8840195	381.2870195	1
385.8932568	0	Experimental	./Sounds/Calf.wav	388.3692726	388.8142726	1
393.3773948	0	Control	./Sounds/Grass_CTRL.wav	396.5049082	397.1449082	1
401.5049505	0	Control	./Sounds/Picnic_CTRL.wav	404.8842459	405.2392459	1
409.9039843	0	Experimental	./Sounds/Onion.wav	413.0421362	413.6791362	1
418.0356865	0	Control	./Sounds/Blizzard_CTRL.wav	421.7495474	422.1885474	1
426.7652402	0	Experimental	./Sounds/Pilot.wav	430.0033271	430.4453271	1
