onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.50374401	0	Control	./Sounds/HARP_CTRL.wav	4.7031071	5.0031071	1
9.70353331	0	Experimental	./Sounds/Sawing.wav	12.3034299	14.0184299	0
17.32708111	0	Experimental	./Sounds/Bagpipes.wav	21.2923675	23.1613675	0
26.29395251	0	Control	./Sounds/Ocean_CTRL.wav	33.5830025	33.8990025	1
38.59228641	0	Experimental	./Sounds/parrot.wav	40.7017647	41.1117647	0
45.70236751	0	Control	./Sounds/Banjo_CTRL.wav	50.3148769	50.9608769	1
55.31265411	0	Experimental	./Sounds/Wolf.wav	59.9328745	60.3498745	0
64.95093161	0	Experimental	./Sounds/SNEEZE.wav	66.1440394	66.5480394	1
71.15168181	0	Control	./Sounds/chicken_CTRL.wav	73.1595678	73.4595678	1
78.17513201	0	Control	./Sounds/BURP_CTRL.wav	79.0348822	79.4638822	1
84.02623711	0	Experimental	./Sounds/SAX.wav	89.9508508	90.6418508	0
94.96030151	0	Experimental	./Sounds/Baskball.wav	98.7928447	99.3348447	1
103.8102429	0	Control	./Sounds/TRUMPET_CTRL.wav	106.800384	107.096384	1
111.8252609	0	Control	./Sounds/GARGLING_CTRL.wav	115.6157306	115.9537306	1
120.6337004	0	Experimental	./Sounds/helicopter.wav	123.0398206	123.7118206	0
128.0593757	0	Control	./Sounds/monkey_CTRL.wav	129.7660216	130.7720216	1
134.7760901	0	Experimental	./Sounds/whip.wav	137.180295	137.602295	0
142.1929078	0	Experimental	./Sounds/OWL.wav	144.901282	145.345282	1
149.9196346	0	Control	./Sounds/Whistle_CTRL.wav	152.0104322	152.3064322	1
157.0173714	0	Experimental	./Sounds/Crow.wav	160.4403032	161.2803032	0
165.4433807	0	Experimental	./Sounds/GARGLING.wav	169.1320919	169.5560919	1
174.1237582	0	Control	./Sounds/Airplane_CTRL.wav	178.8496369	179.5026369	0
183.8442552	0	Experimental	./Sounds/piano.wav	185.6490683	186.2430683	1
190.6592436	0	Experimental	./Sounds/bicycle.wav	192.6677967	193.2967967	1
197.6852642	0	Control	./Sounds/Flute_CTRL.wav	202.5650693	203.0850693	1
207.5766576	0	Control	./Sounds/Baskball_CTRL.wav	211.6156213	212.3106213	1
216.6256987	0	Experimental	./Sounds/footsteps.wav	218.4352519	218.9922519	1
223.4427193	0	Experimental	./Sounds/Banjo.wav	227.94613	228.52413	1
232.9689647	0	Control	./Sounds/SCREAM_CTRL.wav	235.1733205	235.6453205	0
240.1926128	0	Experimental	./Sounds/LION.wav	243.268961	243.687961	1
248.2850429	0	Experimental	./Sounds/clock.wav	250.1900484	251.8570484	0
255.2007248	0	Control	./Sounds/Wolf_CTRL.wav	260.3034343	260.7694343	1
265.3330998	0	Control	./Sounds/Clapping_CTRL.wav	268.6232345	268.9522345	1
273.6421105	0	Experimental	./Sounds/TRUMPET.wav	276.5318761	276.9388761	1
281.5426467	0	Experimental	./Sounds/SHEEP.wav	283.7820943	284.1470943	1
288.7930494	0	Control	./Sounds/piano_CTRL.wav	290.8075237	291.2725237	1
295.8133932	0	Experimental	./Sounds/turkey.wav	297.9128696	298.9758696	0
302.9429187	0	Control	./Sounds/ZIPPER_CTRL.wav	305.1891339	305.5271339	1
310.1945007	0	Control	./Sounds/OWL_CTRL.wav	312.5163359	313.0243359	1
317.5270732	0	Experimental	./Sounds/Ocean.wav	324.6154545	325.0294545	0
329.6261939	0	Control	./Sounds/Crow_CTRL.wav	332.8494253	333.9264253	0
337.8595104	0	Experimental	./Sounds/Airplane.wav	343.0766333	344.1436333	0
348.1023965	0	Experimental	./Sounds/Woodpckr.wav	350.793672	351.371672	0
355.8066637	0	Control	./Sounds/guitar_CTRL.wav	357.323236	357.911236	1
362.3354232	0	Control	./Sounds/THUNDER_CTRL.wav	367.0607119	367.4577119	1
372.0693656	0	Experimental	./Sounds/ZIPPER.wav	374.1102633	374.4292633	1
379.1265259	0	Control	./Sounds/Motorcyc_CTRL.wav	384.2829577	384.7489577	0
389.292762	0	Experimental	./Sounds/Flute.wav	393.7836408	395.5266408	0
398.8001639	0	Experimental	./Sounds/chicken.wav	400.2891639	400.9031639	1
405.3180066	0	Control	./Sounds/Bagpipes_CTRL.wav	408.9911442	410.0251442	0
