onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.51831337	0	Control	./Sounds/Blizzard_CTRL.wav	4.7214634	5.1904634	1
9.73890677	0	Control	./Sounds/Picnic_CTRL.wav	13.3045276	13.8345276	1
18.30534017	0	Experimental	./Sounds/Crown.wav	21.4381262	22.0011262	1
26.43838237	0	Control	./Sounds/Wrinkle_CTRL.wav	30.3883198	30.9323198	1
35.38849487	0	Control	./Sounds/Dictionary_CTRL.wav	39.5047965	40.2977965	1
44.50384717	0	Experimental	./Sounds/Calf.wav	46.5702706	47.2302706	1
51.57079517	0	Experimental	./Sounds/Pilot.wav	54.8040629	55.2930629	1
59.80505847	0	Control	./Sounds/Envelope_CTRL.wav	63.5871354	64.2631354	1
68.58705457	0	Experimental	./Sounds/Menu.wav	71.7716482	72.3216482	1
76.77161817	0	Control	./Sounds/Kite_CTRL.wav	81.8530479	82.3460479	1
86.85540167	0	Experimental	./Sounds/Submarine.wav	90.8039856	91.3689856	1
95.80399377	0	Control	./Sounds/Puddle_CTRL.wav	99.5545318	100.0035318	1
104.5550011	0	Control	./Sounds/Scale_CTRL.wav	107.7715026	108.3115026	1
112.7705053	0	Experimental	./Sounds/Razor.wav	115.9547793	116.6327793	1
120.9543603	0	Experimental	./Sounds/Mustache.wav	125.7709862	126.3389862	1
130.7703564	0	Control	./Sounds/Petrol_CTRL.wav	133.7046524	134.3136524	1
138.7039755	0	Experimental	./Sounds/Bridge.wav	142.6712245	143.3622245	1
147.6879373	0	Experimental	./Sounds/Telescope.wav	150.6539498	152.4729498	1
155.654074	0	Control	./Sounds/Ax_CTRL.wav	158.6040738	159.2330738	1
163.6050766	0	Experimental	./Sounds/Boil.wav	168.154771	168.778771	1
173.15538	0	Experimental	./Sounds/Camel.wav	177.5708914	177.9968914	1
182.5712323	0	Control	./Sounds/Mustache_CTRL.wav	186.8872402	187.5912402	1
191.8884302	0	Control	./Sounds/Crust_CTRL.wav	195.054765	195.635765	1
200.0550643	0	Experimental	./Sounds/Yolk.wav	203.4546304	203.9926304	1
208.4552036	0	Control	./Sounds/Sharpen_CTRL.wav	213.5723805	214.2393805	1
218.572423	0	Control	./Sounds/Ruler_CTRL.wav	223.1557901	224.0987901	1
228.1554662	0	Experimental	./Sounds/Envelope.wav	232.638389	233.213389	1
237.6393586	0	Control	./Sounds/Pillow_CTRL.wav	241.9886913	242.6176913	1
247.005771	0	Experimental	./Sounds/Apron.wav	250.6884029	251.3264029	1
255.6881324	0	Control	./Sounds/Dragon_CTRL.wav	259.6054348	260.1564348	1
264.6054949	0	Control	./Sounds/Island_CTRL.wav	267.9384632	268.8984632	1
272.9385337	0	Experimental	./Sounds/Straw.wav	276.7384813	277.2134813	1
281.7387172	0	Control	./Sounds/Dishwasher_CTRL.wav	286.0553529	286.6843529	1
291.0552825	0	Control	./Sounds/Root_CTRL.wav	295.1386434	295.6786434	1
300.1388905	0	Experimental	./Sounds/Claw.wav	304.3726162	305.4246162	1
309.3720037	0	Control	./Sounds/Microphone_CTRL.wav	313.4556423	314.1596423	1
318.455664	0	Control	./Sounds/Crown_CTRL.wav	321.6890032	322.3810032	1
326.6892855	0	Experimental	./Sounds/Thermometer.wav	330.3550409	331.7930409	1
335.3555282	0	Experimental	./Sounds/Dictionary.wav	339.5718242	340.3658242	1
344.5712424	0	Control	./Sounds/Telescope_CTRL.wav	347.9370161	348.5810161	1
352.9208069	0	Experimental	./Sounds/Onion.wav	356.0544986	356.6524986	1
361.0550472	0	Experimental	./Sounds/Crust.wav	364.9205496	365.5495496	1
369.9220534	0	Control	./Sounds/Yolk_CTRL.wav	372.4209504	373.4399504	1
377.4210343	0	Experimental	./Sounds/Island.wav	381.3522535	381.8492535	1
386.3553139	0	Control	./Sounds/Bridge_CTRL.wav	390.4384001	390.9974001	1
395.4392426	0	Control	./Sounds/Grass_CTRL.wav	398.2520093	399.0170093	1
403.2535141	0	Experimental	./Sounds/Ruler.wav	408.4371481	408.9971481	1
413.43786	0	Experimental	./Sounds/Penguin.wav	417.2876157	418.2036157	0
422.3043758	0	Control	./Sounds/Atlas_CTRL.wav	425.2552536	426.3472536	1
430.2542638	0	Experimental	./Sounds/Scale.wav	432.9730804	434.7580804	0
