onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.52252777	0	Control	./Sounds/clock_CTRL.wav	3.1215027	3.5975027	1	noise
8.12287267	0	Experimental	./Sounds/ROOSTER.wav	11.2228504	12.0158504	1	rooster
16.22217987	0	Control	./Sounds/Motorcyc_CTRL.wav	20.7549976	21.4959976	1	noise
25.75558057	0	Experimental	./Sounds/LION.wav	29.0222528	29.5022528	1	tiger
34.02186607	0	Control	./Sounds/SNEEZE_CTRL.wav	35.1221621	36.0061621	1	noise
40.12246977	0	Control	./Sounds/OWL_CTRL.wav	42.819518	43.482518	1	noise
47.82411507	0	Experimental	./Sounds/Whistle.wav	49.5063663	50.2273663	1	whistle
54.50572737	0	Control	./Sounds/DOORBELL_CTRL.wav	56.8891076	57.7291076	1	noise
61.88913477	0	Control	./Sounds/tambourine_CTRL.wav	63.8891896	64.5661896	1	noise
68.88854437	0	Experimental	./Sounds/DOORBELL.wav	71.9720091	72.5810091	1	doorbell
76.96944287	0	Experimental	./Sounds/Flute.wav	81.7392405	82.3062405	1	flute
86.73937067	0	Control	./Sounds/DUCK_CTRL.wav	91.0371711	91.6771711	1	noise
96.03956567	0	Experimental	./Sounds/whip.wav	97.7394681	98.3714681	0	smack
102.7398019	0	Control	./Sounds/ZIPPER_CTRL.wav	104.4724873	105.1834873	1	noise
109.472709	0	Experimental	./Sounds/THUNDER.wav	114.2895326	114.9265326	1	thunder
119.2895967	0	Experimental	./Sounds/DUCK.wav	123.5897558	124.1077558	1	duck
128.5895857	0	Control	./Sounds/BOWLING_CTRL.wav	133.9895329	134.7345329	1	noise
138.9891198	0	Control	./Sounds/DONKEY_CTRL.wav	141.8560374	142.5730374	1	noise
146.8562498	0	Experimental	./Sounds/HARMONCA.wav	152.606324	153.225324	1	harmonica
157.6059328	0	Experimental	./Sounds/Wolf.wav	162.7055642	163.3365642	1	wolf
167.7060522	0	Control	./Sounds/guitar_CTRL.wav	169.3057152	169.9097152	1	noise
174.3064951	0	Control	./Sounds/helicopter_CTRL.wav	176.2058385	176.9018385	1	noise
181.2062946	0	Experimental	./Sounds/GARGLING.wav	184.2895972	184.9675972	1	gargle
189.2894417	0	Experimental	./Sounds/tambourine.wav	191.5892937	192.1572937	0	don't know
196.5899178	0	Control	./Sounds/THUNDER_CTRL.wav	201.6061459	202.2471459	1	noise
206.606033	0	Control	./Sounds/Bagpipes_CTRL.wav	210.2729763	210.7659763	1	noise
215.273141	0	Experimental	./Sounds/SCREAM.wav	216.7566161	217.2486161	1	scream
221.7560093	0	Control	./Sounds/Flute_CTRL.wav	226.6227972	227.0187972	1	noise
231.623741	0	Control	./Sounds/turkey_CTRL.wav	233.5226896	234.0256896	1	noise
238.5199273	0	Experimental	./Sounds/HARP.wav	241.4062316	242.0112316	1	harp
246.4060012	0	Experimental	./Sounds/Clapping.wav	249.3895879	250.0185879	1	clap
254.3884571	0	Control	./Sounds/SAX_CTRL.wav	261.0063536	261.7333536	1	noise
265.9895469	0	Experimental	./Sounds/helicopter.wav	268.1899683	268.7329683	1	helicopter
273.1899505	0	Experimental	./Sounds/guitar.wav	275.0900887	275.6780887	1	guitar
280.0899097	0	Control	./Sounds/footsteps_CTRL.wav	282.0895605	282.6775605	1	noise
287.0894871	0	Experimental	./Sounds/piano.wav	288.589734	289.323734	1	piano
293.5891758	0	Experimental	./Sounds/Sandpapr.wav	295.5397196	296.0297196	1	scrub
300.5396281	0	Control	./Sounds/VIOLIN_CTRL.wav	305.6891271	306.3421271	1	noise
310.689388	0	Control	./Sounds/Sandpapr_CTRL.wav	312.839779	313.417779	1	noise
317.8400216	0	Experimental	./Sounds/Banjo.wav	323.2398113	324.0248113	1	ukulele
328.2400694	0	Control	./Sounds/Airplane_CTRL.wav	332.939603	333.528603	1	noise
337.9399342	0	Experimental	./Sounds/Woodpckr.wav	340.4228203	341.0128203	0	helicopter
345.4233299	0	Experimental	./Sounds/Ocean.wav	352.5064884	353.0264884	0	plane
357.5061851	0	Control	./Sounds/frog_CTRL.wav	359.5062695	360.1612695	1	noise
364.5059944	0	Experimental	./Sounds/Sawing.wav	367.8235499	368.2765499	1	saw
372.8230238	0	Experimental	./Sounds/frog.wav	375.1233994	375.8583994	1	frog
380.1220652	0	Control	./Sounds/Banjo_CTRL.wav	384.7394212	385.4334212	1	noise
389.7384672	0	Experimental	./Sounds/OWL.wav	392.6564359	393.2124359	1	owl
397.6568495	0	Experimental	./Sounds/Toilet.wav	403.0391948	403.5901948	1	toilet
408.0364401	0	Control	./Sounds/Wolf_CTRL.wav	412.7540217	413.3580217	1	noise
