onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.50398701	0	Experimental	./Sounds/Baskball.wav	4.7369849	5.4809849	1	ball
9.73722721	0	Experimental	./Sounds/turkey.wav	11.6369093	12.3479093	0	bird
16.66009171	0	Control	./Sounds/bicycle_CTRL.wav	18.16719	18.83319	1	noise
23.18500941	0	Experimental	./Sounds/VIOLIN.wav	28.1488402	28.8938402	1	violin
33.16108981	0	Control	./Sounds/Sandpapr_CTRL.wav	35.3190107	35.8970107	1	noise
40.33549001	0	Experimental	./Sounds/Banjo.wav	44.9425457	45.5105457	1	ukulele
49.96318061	0	Control	./Sounds/Sawing_CTRL.wav	53.1636909	53.7906909	1	noise
58.18572351	0	Experimental	./Sounds/Whistle.wav	59.9888707	60.5318707	1	whistle
65.01872611	0	Experimental	./Sounds/SAX.wav	70.8323423	71.3393423	1	saxophone
75.84298711	0	Control	./Sounds/ZIPPER_CTRL.wav	77.4851377	78.0281377	1	noise
82.49199771	0	Control	./Sounds/snore_CTRL.wav	84.7021451	85.2641451	1	noise
89.71019861	0	Experimental	./Sounds/Flute.wav	94.9013229	95.5053229	1	flute
99.90250691	0	Experimental	./Sounds/snore.wav	102.3163632	102.7823632	1	snore
107.3206025	0	Control	./Sounds/guitar_CTRL.wav	109.3332179	110.0542179	1	noise
114.3428769	0	Experimental	./Sounds/Motorcyc.wav	119.2855146	120.0745146	1	motorbike
124.3084468	0	Experimental	./Sounds/clock.wav	126.216211	126.888211	1	clock
131.2180148	0	Control	./Sounds/HARMONCA_CTRL.wav	136.8813867	137.7703867	1	noise
141.8911805	0	Control	./Sounds/Toilet_CTRL.wav	147.796907	148.413907	1	noise
152.7795455	0	Experimental	./Sounds/ROOSTER.wav	155.6875724	156.2555724	1	rooster
160.6873725	0	Experimental	./Sounds/SCREAM.wav	162.4913693	162.9853693	1	scream
167.4856414	0	Control	./Sounds/piano_CTRL.wav	169.4000527	170.0620527	1	noise
174.4153964	0	Experimental	./Sounds/SNEEZE.wav	176.3111506	176.7961506	1	sneeze
181.3270423	0	Experimental	./Sounds/HARMONCA.wav	186.9853872	187.5183872	0	music
191.9695641	0	Control	./Sounds/chicken_CTRL.wav	193.4773796	194.1753796	1	noise
198.4855452	0	Experimental	./Sounds/BOWLING.wav	204.6019233	205.2549233	1	bowling
209.5926788	0	Experimental	./Sounds/monkey.wav	211.5004055	212.1964055	0	kookaburra
216.5104835	0	Control	./Sounds/tambourine_CTRL.wav	218.1187363	218.8297363	1	noise
223.1353124	0	Control	./Sounds/SHEEP_CTRL.wav	225.2621887	225.8731887	1	noise
230.2783227	0	Experimental	./Sounds/BURP.wav	231.7499921	232.3989921	1	burp
236.760047	0	Experimental	./Sounds/frog.wav	238.9659159	239.6119159	0	pig
243.9779715	0	Control	./Sounds/Airplane_CTRL.wav	248.4853733	249.0923733	1	noise
253.5016459	0	Experimental	./Sounds/LION.wav	256.5761051	257.2321051	1	lion
261.5859572	0	Experimental	./Sounds/Bagpipes.wav	265.7663285	266.3133285	0	saxophone
270.7769912	0	Control	./Sounds/frog_CTRL.wav	272.6793401	273.3193401	1	noise
277.6866505	0	Experimental	./Sounds/Sandpapr.wav	280.2440595	280.8710595	1	rub
285.2438974	0	Experimental	./Sounds/Woodpckr.wav	287.4503166	288.1193166	0	stretch
292.4697237	0	Control	./Sounds/DOORBELL_CTRL.wav	295.4613088	296.0853088	1	noise
300.4777842	0	Control	./Sounds/ROOSTER_CTRL.wav	303.5023952	304.1683952	1	noise
308.5086289	0	Experimental	./Sounds/THUNDER.wav	313.1353397	314.2903397	1	thunder
318.1607805	0	Experimental	./Sounds/DONKEY.wav	321.9332374	322.4982374	1	donkey
326.9449374	0	Control	./Sounds/Whistle_CTRL.wav	328.4501938	329.1031938	1	noise
333.444276	0	Experimental	./Sounds/bicycle.wav	335.2507672	336.1817672	1	bell
340.2697155	0	Experimental	./Sounds/ZIPPER.wav	342.2972182	342.8602182	1	zip
347.3171849	0	Control	./Sounds/parrot_CTRL.wav	349.5249849	350.1289849	1	noise
354.5202726	0	Control	./Sounds/GARGLING_CTRL.wav	358.1112478	358.7252478	1	noise
363.1275474	0	Experimental	./Sounds/Crow.wav	366.8336035	367.5026035	0	bird
371.8519697	0	Control	./Sounds/THUNDER_CTRL.wav	377.0830766	377.7940766	1	noise
382.0770375	0	Experimental	./Sounds/chicken.wav	383.7833907	384.8873907	1	chicken
388.8037899	0	Experimental	./Sounds/Clapping.wav	392.0852941	393.0762941	0	bang? 
397.1086821	0	Control	./Sounds/whip_CTRL.wav	399.3145173	399.8955173	1	noise
