onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.5196069	0	Experimental	./Sounds/Claw.wav	5.7526503	6.3086503	1
10.7530481	0	Experimental	./Sounds/Penguin.wav	14.9033094	15.3103094	1
19.9350698	0	Control	./Sounds/Kitchen_CTRL.wav	23.6824581	24.0304581	1
28.6994068	0	Experimental	./Sounds/Menu.wav	32.3778623	32.8668623	1
37.392781	0	Experimental	./Sounds/Mustache.wav	42.3213469	42.8563469	1
47.3183652	0	Control	./Sounds/Telescope_CTRL.wav	50.2903083	51.0303083	1
55.2839745	0	Control	./Sounds/Wrinkle_CTRL.wav	59.4426339	59.8176339	1
64.4678773	0	Experimental	./Sounds/Calf.wav	66.6477048	67.2657048	1
71.6342828	0	Control	./Sounds/Envelope_CTRL.wav	75.6170333	76.1880333	1
80.6267003	0	Experimental	./Sounds/Scarf.wav	84.0974021	84.7974021	1
89.1093873	0	Experimental	./Sounds/Envelope.wav	93.3057835	93.8417835	1
98.3165759	0	Control	./Sounds/Atlas_CTRL.wav	101.9891855	102.5291855	1
107.0001907	0	Experimental	./Sounds/Petrol.wav	109.6477641	110.3387641	1
114.6416231	0	Control	./Sounds/Cactus_CTRL.wav	117.8318656	118.2388656	1
122.8350731	0	Experimental	./Sounds/Escalator.wav	126.317203	127.017203	1
131.3354397	0	Control	./Sounds/Crown_CTRL.wav	134.4900846	134.9200846	1
139.4933113	0	Control	./Sounds/Umbrella_CTRL.wav	143.5825718	144.0325718	1
148.591604	0	Experimental	./Sounds/Boil.wav	153.3660653	153.9310653	1
158.3698285	0	Control	./Sounds/Thermometer_CTRL.wav	161.5568246	161.9708246	1
166.5596787	0	Control	./Sounds/Crust_CTRL.wav	169.7462526	170.4392526	1
174.7597225	0	Experimental	./Sounds/Ruler.wav	179.4483691	180.0243691	1
184.4594932	0	Control	./Sounds/Library_CTRL.wav	187.3158214	187.8358214	1
192.3258826	0	Control	./Sounds/Ruler_CTRL.wav	197.2141485	197.7111485	1
202.2267353	0	Experimental	./Sounds/Crust.wav	205.9087603	206.4587603	1
210.931692	0	Control	./Sounds/Submarine_CTRL.wav	215.2829879	215.9639879	1
220.3097733	0	Control	./Sounds/Claw_CTRL.wav	224.0486444	224.4906444	1
229.0682952	0	Experimental	./Sounds/Island.wav	232.4074513	232.8704513	1
237.3914533	0	Control	./Sounds/Casino_CTRL.wav	241.1724783	241.6304783	1
246.1817093	0	Control	./Sounds/Scarf_CTRL.wav	250.3499613	250.8269613	1
255.3516273	0	Experimental	./Sounds/Umbrella.wav	259.5263673	260.0493673	1
264.5239893	0	Control	./Sounds/Goggles_CTRL.wav	267.9647373	268.5047373	1
272.9591803	0	Control	./Sounds/Dictionary_CTRL.wav	277.1809873	277.6459873	1
282.1933523	0	Experimental	./Sounds/Pilot.wav	285.5342433	286.4932433	1
290.5426683	0	Control	./Sounds/Ax_CTRL.wav	293.5149583	293.9959583	1
298.5253833	0	Control	./Sounds/Island_CTRL.wav	302.5649543	303.0309543	1
307.5846583	0	Experimental	./Sounds/Elbow.wav	310.3584403	310.9854403	1
315.3667073	0	Experimental	./Sounds/Napkin.wav	319.0598313	319.5058313	1
324.0769003	0	Control	./Sounds/Pillow_CTRL.wav	328.0324443	328.5684443	1
333.0252053	0	Experimental	./Sounds/Onion.wav	336.9730973	337.4070973	1
341.9918013	0	Experimental	./Sounds/Dictionary.wav	345.6227093	346.3607093	1
350.6434453	0	Control	./Sounds/Calf_CTRL.wav	352.8153613	353.4143613	1
357.8327683	0	Experimental	./Sounds/Kitchen.wav	361.0811193	361.6111193	1
366.1091953	0	Experimental	./Sounds/Camel.wav	370.5320383	370.9770383	1
375.5417613	0	Control	./Sounds/Root_CTRL.wav	379.3397723	379.8877723	1
384.3420973	0	Control	./Sounds/Scale_CTRL.wav	387.0726543	387.7296543	1
392.1002143	0	Experimental	./Sounds/Microphone.wav	396.2980763	396.9300763	1
401.2859133	0	Experimental	./Sounds/Pillow.wav	405.2362893	405.7112893	1
410.2357473	0	Control	./Sounds/Penguin_CTRL.wav	414.1858983	414.6828983	1
419.1857743	0	Experimental	./Sounds/Bridge.wav	423.1608753	423.6858753	1
428.1611763	0	Control	./Sounds/Napkin_CTRL.wav	431.2527213	431.8947213	1
