onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.51003218	0	Experimental	./Sounds/Kite.wav	6.210156	7.222156	1	kite
11.21003638	0	Experimental	./Sounds/Sharpen.wav	16.2392852	16.8362852	1	sharpen
21.24083018	0	Control	./Sounds/Blizzard_CTRL.wav	24.8499223	25.7199223	1	noise
29.85717718	0	Experimental	./Sounds/Cactus.wav	32.94704	33.63204	1	cactus
37.92455658	0	Experimental	./Sounds/Straw.wav	42.2478463	42.9468463	1	straw
47.25714628	0	Control	./Sounds/Picnic_CTRL.wav	50.1480307	51.2320307	1	noise
55.16661738	0	Experimental	./Sounds/Wrinkle.wav	59.2158424	59.9698424	1	wrinkle
64.23306548	0	Experimental	./Sounds/Casino.wav	67.7151624	68.7951624	0	bank
72.71530568	0	Control	./Sounds/Goggles_CTRL.wav	76.049002	77.217002	1	noise
81.05864478	0	Experimental	./Sounds/Ruler.wav	85.7420938	86.5150938	1	ruler
90.75332038	0	Experimental	./Sounds/Claw.wav	94.6777849	95.5837849	1	claw
99.69517258	0	Control	./Sounds/Ruler_CTRL.wav	104.7974119	105.5214119	1	noise
109.8089218	0	Experimental	./Sounds/Puddle.wav	113.6656323	114.3026323	1	puddle
118.675509	0	Experimental	./Sounds/Dictionary.wav	122.4132215	123.2292215	1	dictionary
127.4075997	0	Control	./Sounds/Umbrella_CTRL.wav	131.2838265	132.0108265	1	noise
136.2737345	0	Control	./Sounds/Dragon_CTRL.wav	140.5068117	141.1178117	1	noise
145.5235117	0	Experimental	./Sounds/Petrol.wav	148.4718183	149.1538183	1	petrol
153.4738543	0	Experimental	./Sounds/Grass.wav	156.1989751	157.1529751	1	grass
161.2076883	0	Control	./Sounds/Escalator_CTRL.wav	163.9989834	164.9689834	1	noise
169.0172025	0	Experimental	./Sounds/Submarine.wav	173.2647461	173.7907461	1	submarine
178.2854336	0	Experimental	./Sounds/Kitchen.wav	181.9270872	182.5270872	1	kitchen
186.941801	0	Control	./Sounds/Puddle_CTRL.wav	190.7051627	192.0281627	1	noise
195.6920472	0	Experimental	./Sounds/Blizzard.wav	198.5133588	200.2873588	0	don't know
203.499682	0	Control	./Sounds/Microphone_CTRL.wav	207.5990363	208.4460363	1	noise
212.6076064	0	Experimental	./Sounds/Umbrella.wav	216.9942595	217.5752595	1	umbrella
221.991013	0	Experimental	./Sounds/Microphone.wav	226.4976735	227.3336735	1	microphone
231.5087024	0	Control	./Sounds/Envelope_CTRL.wav	235.8985709	236.5675709	1	noise
240.9157456	0	Experimental	./Sounds/Mustache.wav	245.1269775	245.7819775	1	mustache
250.1332529	0	Experimental	./Sounds/Root.wav	254.3168169	254.9158169	1	roots
259.3317687	0	Control	./Sounds/Crust_CTRL.wav	263.1013972	264.0553972	1	noise
268.1020327	0	Experimental	./Sounds/Onion.wav	271.334682	272.072682	1	onion
276.3334549	0	Experimental	./Sounds/Escalator.wav	279.2161736	279.9991736	1	escalator
284.240197	0	Control	./Sounds/Yolk_CTRL.wav	287.4498646	288.1088646	1	noise
292.4571101	0	Control	./Sounds/Casino_CTRL.wav	295.7486995	296.3426995	1	noise
300.7571544	0	Experimental	./Sounds/Dragon.wav	304.4816919	305.2766919	1	dragon
309.483364	0	Experimental	./Sounds/Crown.wav	313.0317471	313.6167471	1	crown
318.0480773	0	Control	./Sounds/Petrol_CTRL.wav	320.6910592	321.8560592	1	noise
325.7078194	0	Control	./Sounds/Cactus_CTRL.wav	328.4970268	329.1040268	1	noise
333.5072272	0	Experimental	./Sounds/Ax.wav	336.1666071	336.9356071	1	axe
341.1850951	0	Experimental	./Sounds/Crust.wav	345.0601026	345.6411026	1	crust
350.074883	0	Control	./Sounds/Mustache_CTRL.wav	354.4855517	355.1965517	1	noise
359.5153858	0	Control	./Sounds/Crown_CTRL.wav	363.0635226	363.7875226	1	noise
368.073921	0	Experimental	./Sounds/Dishwasher.wav	372.7885597	373.3245597	1	dishwasher
377.8085376	0	Control	./Sounds/Claw_CTRL.wav	382.1274092	382.7514092	1	noise
387.1582404	0	Control	./Sounds/Island_CTRL.wav	390.4050374	391.0540374	1	noise
395.3904608	0	Experimental	./Sounds/Camel.wav	399.3022118	400.0742118	1	camel
404.3321341	0	Control	./Sounds/Grass_CTRL.wav	407.9572866	408.6032866	1	noise
412.9433102	0	Control	./Sounds/Penguin_CTRL.wav	417.2933041	418.1403041	1	noise
422.2932376	0	Experimental	./Sounds/Atlas.wav	425.3513886	427.2153886	0	don't know
430.3656107	0	Control	./Sounds/Apron_CTRL.wav	434.3512207	435.1752207	1	noise
