onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.51085119	0	Experimental	./Sounds/Straw.wav	5.8191305	6.6431305	0	glass
10.81861729	0	Control	./Sounds/Crust_CTRL.wav	13.9995333	14.6785333	1	noise
19.00058299	0	Experimental	./Sounds/Dishwasher.wav	23.2244162	24.8584162	0	not sure
28.24181449	0	Control	./Sounds/Root_CTRL.wav	32.0329328	32.6309328	1	noise
37.02436399	0	Control	./Sounds/Dishwasher_CTRL.wav	41.2502312	41.9762312	1	noise
46.25826069	0	Experimental	./Sounds/Yolk.wav	49.3652235	49.9612235	1	yolk
54.38249469	0	Control	./Sounds/Scarf_CTRL.wav	57.8416168	58.7766168	1	noise
62.85761189	0	Control	./Sounds/Pillow_CTRL.wav	66.3085501	66.9705501	1	noise
71.31661959	0	Experimental	./Sounds/Microphone.wav	75.3072094	75.8722094	1	microphone
80.31217929	0	Control	./Sounds/Grass_CTRL.wav	83.2284127	83.8264127	1	noise
88.26623819	0	Experimental	./Sounds/Kite.wav	93.0590091	93.9880091	0	don't know
98.07548139	0	Control	./Sounds/Telescope_CTRL.wav	101.7413111	102.5563111	1	noise
106.7500278	0	Experimental	./Sounds/Claw.wav	110.670261	111.511261	1	pincer
115.7007924	0	Control	./Sounds/Envelope_CTRL.wav	119.2910839	119.9600839	1	noise
124.3002496	0	Control	./Sounds/Casino_CTRL.wav	128.0836886	128.9726886	1	noise
133.0829678	0	Experimental	./Sounds/Petrol.wav	136.3229579	137.0369579	1	oil
141.3425728	0	Experimental	./Sounds/Library.wav	144.7830092	145.4620092	1	library
149.7927574	0	Control	./Sounds/Atlas_CTRL.wav	153.06507	153.84107	1	noise
158.0829131	0	Experimental	./Sounds/Onion.wav	161.525063	162.092063	1	onion
166.544026	0	Control	./Sounds/Sharpen_CTRL.wav	171.4602799	172.2232799	1	noise
176.4585507	0	Control	./Sounds/Pilot_CTRL.wav	179.698813	180.416813	1	noise
184.6939686	0	Experimental	./Sounds/Casino.wav	188.4605398	189.0015398	1	casino
193.4604144	0	Experimental	./Sounds/Pilot.wav	196.6938245	197.3988245	1	pilot
201.71652	0	Control	./Sounds/Scale_CTRL.wav	205.1424075	205.8244075	1	noise
210.150103	0	Experimental	./Sounds/Penguin.wav	214.1084206	214.6894206	1	penguin
219.1336253	0	Experimental	./Sounds/Scale.wav	221.9595989	222.3835989	1	scale
226.973207	0	Control	./Sounds/Thermometer_CTRL.wav	230.249614	230.983614	1	noise
235.2667718	0	Control	./Sounds/Calf_CTRL.wav	237.3423209	238.0173209	1	noise
242.3740229	0	Experimental	./Sounds/Bridge.wav	246.7436414	247.5806414	1	bridge
251.766872	0	Experimental	./Sounds/Submarine.wav	255.231061	255.706061	1	submarine
260.2334459	0	Control	./Sounds/Kitchen_CTRL.wav	263.5868603	264.2848603	1	noise
268.5772444	0	Control	./Sounds/Wrinkle_CTRL.wav	272.8332988	273.7252988	1	noise
277.8505909	0	Experimental	./Sounds/Kitchen.wav	281.0988621	281.6398621	1	kitchen
286.1168566	0	Control	./Sounds/Picnic_CTRL.wav	289.3056688	290.0256688	1	noise
294.31723	0	Experimental	./Sounds/Crown.wav	297.3573566	298.0013566	1	crown
302.3675958	0	Experimental	./Sounds/Ruler.wav	306.9533626	307.6483626	1	ruler
311.9522137	0	Control	./Sounds/Napkin_CTRL.wav	315.6443441	316.4683441	1	noise
320.6829902	0	Experimental	./Sounds/Razor.wav	323.3722548	324.0022548	1	razor
328.3917911	0	Experimental	./Sounds/Menu.wav	331.9803089	332.7013089	1	menu
336.9909389	0	Control	./Sounds/Boil_CTRL.wav	341.0566731	341.6836731	1	noise
346.0731205	0	Experimental	./Sounds/Pillow.wav	349.8197573	350.4687573	1	pillow
354.829118	0	Experimental	./Sounds/Blizzard.wav	357.6576034	358.7706034	0	don't know
362.6673069	0	Control	./Sounds/Ruler_CTRL.wav	367.8624064	368.6834064	1	noise
372.8759861	0	Experimental	./Sounds/Sharpen.wav	377.5911109	378.0811109	1	sharpen
382.6076068	0	Experimental	./Sounds/Dictionary.wav	387.0403945	387.7053945	1	dictionary
392.0497575	0	Control	./Sounds/Umbrella_CTRL.wav	396.0258268	396.6528268	1	noise
401.0259088	0	Control	./Sounds/Crown_CTRL.wav	403.6802069	404.4302069	1	noise
408.690369	0	Experimental	./Sounds/Goggles.wav	412.0122793	412.5642793	1	goggles
417.0227532	0	Control	./Sounds/Blizzard_CTRL.wav	420.1478199	420.9758199	1	noise
425.1671991	0	Control	./Sounds/Yolk_CTRL.wav	427.9732478	428.8252478	1	noise
