onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.5263567	0	Experimental	./Sounds/Casino.wav	4.7931552	5.5771552	0
9.7931973	0	Control	./Sounds/Thermometer_CTRL.wav	13.3600385	14.0910385	1
18.3590328	0	Experimental	./Sounds/Bridge.wav	22.343604	23.016604	1
27.342734	0	Experimental	./Sounds/Microphone.wav	31.5268399	32.1398399	1
36.5245734	0	Control	./Sounds/Claw_CTRL.wav	40.6598835	41.3268835	1
45.6765782	0	Experimental	./Sounds/Envelope.wav	49.6600323	50.3360323	1
54.6566299	0	Experimental	./Sounds/Dishwasher.wav	59.3766885	59.9916885	0
64.375909	0	Control	./Sounds/Calf_CTRL.wav	66.5434169	67.1484169	1
71.5427828	0	Experimental	./Sounds/Blizzard.wav	74.8429365	76.3569365	0
79.8428165	0	Experimental	./Sounds/Crust.wav	83.0116329	83.7426329	1
88.0097869	0	Control	./Sounds/Yolk_CTRL.wav	90.5103854	91.1363854	1
95.5099677	0	Control	./Sounds/Camel_CTRL.wav	99.5268302	100.0128302	1
104.5258925	0	Experimental	./Sounds/Escalator.wav	108.0099762	108.6899762	1
113.0099937	0	Experimental	./Sounds/Atlas.wav	116.0599883	117.3369883	0
121.0600213	0	Control	./Sounds/Casino_CTRL.wav	124.5266465	125.9966465	1
129.5257307	0	Experimental	./Sounds/Elbow.wav	132.8940283	133.4890283	1
137.892919	0	Experimental	./Sounds/Kitchen.wav	141.1230314	141.7930314	1
146.1262055	0	Control	./Sounds/Bridge_CTRL.wav	150.4103532	151.0003532	1
155.4096466	0	Control	./Sounds/Menu_CTRL.wav	159.3936655	159.9986655	1
164.3931872	0	Experimental	./Sounds/Kite.wav	169.2765885	170.3215885	0
174.2933684	0	Control	./Sounds/Dictionary_CTRL.wav	178.2093066	178.9613066	1
183.2096289	0	Control	./Sounds/Picnic_CTRL.wav	186.0763915	186.8043915	1
191.0755057	0	Experimental	./Sounds/Mustache.wav	196.0936401	196.6986401	1
201.0935903	0	Control	./Sounds/Petrol_CTRL.wav	204.0268009	204.7288009	1
209.0265221	0	Control	./Sounds/Microphone_CTRL.wav	213.9104679	214.6244679	1
218.9095629	0	Experimental	./Sounds/Claw.wav	223.3402612	224.2862612	1
228.326269	0	Control	./Sounds/Elbow_CTRL.wav	231.7937997	232.3037997	1
236.793289	0	Control	./Sounds/Ruler_CTRL.wav	241.3765371	242.0005371	1
246.3933628	0	Experimental	./Sounds/Puddle.wav	250.142983	250.873983	1
255.1432168	0	Experimental	./Sounds/Umbrella.wav	259.3099708	259.9999708	1
264.3094741	0	Control	./Sounds/Pilot_CTRL.wav	267.1429725	267.9079725	1
272.1434335	0	Control	./Sounds/Ax_CTRL.wav	274.4934936	275.2964936	1
279.49277	0	Experimental	./Sounds/Petrol.wav	282.4264895	283.1524895	1
287.4260854	0	Control	./Sounds/Penguin_CTRL.wav	290.876949	291.638949	1
295.8730106	0	Control	./Sounds/Pillow_CTRL.wav	300.1265349	300.7555349	1
305.1265284	0	Experimental	./Sounds/Ax.wav	307.7771896	308.4161896	1
312.7758928	0	Control	./Sounds/Crust_CTRL.wav	316.0430645	317.3330645	1
321.0428543	0	Experimental	./Sounds/Island.wav	324.9771144	325.7031144	1
329.9766782	0	Experimental	./Sounds/Wrinkle.wav	333.5269135	334.2889135	1
338.5263538	0	Control	./Sounds/Boil_CTRL.wav	342.7767026	343.4437026	1
347.7764173	0	Control	./Sounds/Wrinkle_CTRL.wav	351.9270413	352.6000413	1
356.9267002	0	Experimental	./Sounds/Submarine.wav	360.5768932	361.2018932	1
365.5765306	0	Experimental	./Sounds/Tattoo.wav	369.4433618	370.1533618	1
374.4433039	0	Control	./Sounds/Dragon_CTRL.wav	378.1599515	378.8809515	1
383.1600778	0	Experimental	./Sounds/Razor.wav	385.9433585	386.5833585	1
390.9433137	0	Experimental	./Sounds/Grass.wav	394.0597009	394.8357009	1
399.060148	0	Control	./Sounds/Scale_CTRL.wav	402.2773713	403.0073713	1
407.2766906	0	Experimental	./Sounds/Goggles.wav	411.2936624	411.9876624	1
416.2901717	0	Control	./Sounds/Puddle_CTRL.wav	420.143706	420.973706	1
425.1436762	0	Control	./Sounds/Tattoo_CTRL.wav	429.3100058	429.9630058	1
