onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.50805602	0	Control	./Sounds/DUCK_CTRL.wav	4.8999308	5.3649308	1
9.93903002	0	Experimental	./Sounds/Bagpipes.wav	13.714218	14.205218	1
18.71585872	0	Control	./Sounds/SHEEP_CTRL.wav	20.4559196	21.2639196	1
25.46671082	0	Control	./Sounds/tambourine_CTRL.wav	27.4682609	27.8682609	1
32.48235852	0	Experimental	./Sounds/clock.wav	34.486433	34.999433	1
39.49864382	0	Experimental	./Sounds/SAX.wav	45.2211035	45.6111035	1
50.23078622	0	Control	./Sounds/frog_CTRL.wav	52.6376541	53.0216541	1
57.65676852	0	Control	./Sounds/Motorcyc_CTRL.wav	62.2979606	62.7169606	1
67.31536512	0	Experimental	./Sounds/tambourine.wav	69.5227892	70.2117892	0
74.54816262	0	Experimental	./Sounds/whip.wav	76.1539323	76.7389323	1
81.15581702	0	Control	./Sounds/chicken_CTRL.wav	83.0652982	83.5172982	1
88.07323562	0	Control	./Sounds/piano_CTRL.wav	89.781719	90.252719	1
94.79890472	0	Experimental	./Sounds/DOORBELL.wav	97.8890736	98.2990736	1
102.9157805	0	Control	./Sounds/Wolf_CTRL.wav	107.8293786	108.3463786	1
112.839196	0	Experimental	./Sounds/Flute.wav	117.1136791	117.5406791	1
122.1314086	0	Control	./Sounds/DONKEY_CTRL.wav	125.6039272	126.0159272	1
130.6228925	0	Experimental	./Sounds/Clapping.wav	133.6123206	134.0183206	1
138.6238417	0	Experimental	./Sounds/TELEPHON.wav	141.5389935	141.9469935	1
146.5507411	0	Control	./Sounds/Whistle_CTRL.wav	148.4517093	148.8807093	1
153.4639704	0	Control	./Sounds/ZIPPER_CTRL.wav	155.2045407	155.8535407	1
160.1970337	0	Experimental	./Sounds/SHEEP.wav	161.8375425	162.2445425	1
166.8391814	0	Experimental	./Sounds/Sawing.wav	169.9416649	170.3436649	1
174.956592	0	Control	./Sounds/GARGLING_CTRL.wav	178.3478262	178.8708262	1
183.355959	0	Experimental	./Sounds/HARMONCA.wav	188.6285685	189.1045685	1
193.6305353	0	Control	./Sounds/SNEEZE_CTRL.wav	195.437421	195.895421	1
200.4394492	0	Experimental	./Sounds/bicycle.wav	202.0480442	202.6400442	1
207.0607996	0	Control	./Sounds/snore_CTRL.wav	209.1653796	209.5493796	1
214.1727519	0	Experimental	./Sounds/Toilet.wav	219.477436	219.876436	1
224.4899055	0	Experimental	./Sounds/BURP.wav	225.3477712	225.9227712	1
230.3557512	0	Control	./Sounds/Toilet_CTRL.wav	236.1467688	236.5367688	1
241.1744405	0	Experimental	./Sounds/VIOLIN.wav	245.725028	246.161028	1
250.7547752	0	Control	./Sounds/DOORBELL_CTRL.wav	253.9473905	254.3403905	1
258.9423279	0	Experimental	./Sounds/gong.wav	260.6417686	260.9997686	1
265.64209	0	Experimental	./Sounds/helicopter.wav	267.5416971	267.9056971	1
272.5420379	0	Control	./Sounds/Sandpapr_CTRL.wav	274.9918615	275.3948615	1
279.9919566	0	Experimental	./Sounds/parrot.wav	282.3918935	282.8088935	1
287.4103724	0	Control	./Sounds/helicopter_CTRL.wav	288.914492	289.350492	1
293.9310903	0	Experimental	./Sounds/turkey.wav	295.9385129	296.3485129	1
300.9576176	0	Control	./Sounds/whip_CTRL.wav	302.8628614	303.2498614	1
307.8726842	0	Control	./Sounds/VIOLIN_CTRL.wav	312.5339767	312.9569767	1
317.5335396	0	Experimental	./Sounds/Wolf.wav	322.142142	322.626142	1
327.1418099	0	Experimental	./Sounds/Airplane.wav	331.8618757	332.3248757	1
336.8900576	0	Control	./Sounds/gong_CTRL.wav	338.7957943	339.2407943	1
343.8067425	0	Experimental	./Sounds/frog.wav	345.5152966	345.8872966	0
350.5234145	0	Experimental	./Sounds/piano.wav	352.1319988	352.5419988	1
357.1401722	0	Control	./Sounds/Baskball_CTRL.wav	360.7672282	361.1182282	1
365.7904608	0	Experimental	./Sounds/TRUMPET.wav	368.4816508	368.9236508	1
373.4900841	0	Control	./Sounds/SCREAM_CTRL.wav	375.5962639	376.0152639	1
380.5988693	0	Experimental	./Sounds/Ocean.wav	387.5974687	388.1594687	1
392.5827306	0	Experimental	./Sounds/Sandpapr.wav	394.9445779	395.4305779	1
