onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.52872156	0	Control	./Sounds/Escalator_CTRL.wav	4.8955645	5.3195645	1
9.89515966	0	Control	./Sounds/Puddle_CTRL.wav	13.3453131	13.9713131	1
18.34496996	0	Experimental	./Sounds/Grass.wav	21.0622233	21.6942233	1
26.06150256	0	Control	./Sounds/Straw_CTRL.wav	30.3615638	30.7625638	1
35.36155066	0	Control	./Sounds/Claw_CTRL.wav	39.4777277	39.8847277	1
44.49521696	0	Experimental	./Sounds/Dictionary.wav	48.2117916	48.6817916	1
53.21209286	0	Control	./Sounds/Apron_CTRL.wav	57.3953319	57.9123319	1
62.39490016	0	Control	./Sounds/Atlas_CTRL.wav	65.5447653	66.0957653	1
70.54538776	0	Experimental	./Sounds/Penguin.wav	74.2953626	76.2943626	0
79.29493436	0	Control	./Sounds/Pillow_CTRL.wav	83.2447062	83.7887062	1
88.26141786	0	Control	./Sounds/Napkin_CTRL.wav	91.6453463	92.0873463	1
96.64478026	0	Experimental	./Sounds/Razor.wav	99.9286358	100.3396358	1
104.9282535	0	Experimental	./Sounds/Ax.wav	107.4785488	107.9365488	1
112.4773592	0	Control	./Sounds/Submarine_CTRL.wav	116.2280617	116.7480617	1
121.2290047	0	Experimental	./Sounds/Elbow.wav	124.2949784	124.7379784	1
129.2947091	0	Experimental	./Sounds/Root.wav	133.7788261	134.2718261	1
138.7780563	0	Control	./Sounds/Yolk_CTRL.wav	142.1785314	142.6505314	1
147.175681	0	Control	./Sounds/Blizzard_CTRL.wav	150.67857	151.19557	1
155.6792184	0	Experimental	./Sounds/Tattoo.wav	160.1446949	160.5426949	1
165.1450395	0	Control	./Sounds/Kite_CTRL.wav	169.8285724	170.4605724	1
174.8282399	0	Control	./Sounds/Goggles_CTRL.wav	178.145421	178.781421	1
183.1446901	0	Experimental	./Sounds/Crust.wav	186.6123356	187.1223356	1
191.6115078	0	Experimental	./Sounds/Straw.wav	195.3123078	195.5953078	1
200.3114792	0	Control	./Sounds/Elbow_CTRL.wav	203.7788557	204.2268557	1
208.7790942	0	Experimental	./Sounds/Apron.wav	212.7786314	213.1776314	1
217.7784658	0	Experimental	./Sounds/Bridge.wav	221.6636032	222.1806032	1
226.6612789	0	Control	./Sounds/Sharpen_CTRL.wav	231.4773603	232.0893603	1
236.478025	0	Control	./Sounds/Tattoo_CTRL.wav	240.5448622	241.1128622	1
245.5445116	0	Experimental	./Sounds/Claw.wav	249.8762118	250.3972118	1
254.8767755	0	Control	./Sounds/Menu_CTRL.wav	257.9619541	258.8059541	1
262.9616143	0	Control	./Sounds/Ruler_CTRL.wav	268.0455224	268.5995224	1
273.0446205	0	Experimental	./Sounds/Crown.wav	276.3789511	276.9359511	0
281.3786279	0	Experimental	./Sounds/Kitchen.wav	285.0121434	285.4931434	1
290.011764	0	Control	./Sounds/Razor_CTRL.wav	293.1949145	293.7489145	1
298.1946837	0	Experimental	./Sounds/Envelope.wav	301.8783116	302.3523116	1
306.8783295	0	Control	./Sounds/Dishwasher_CTRL.wav	311.8947158	312.4147158	1
316.894678	0	Control	./Sounds/Ax_CTRL.wav	320.0450036	320.6060036	1
325.0443158	0	Experimental	./Sounds/Sharpen.wav	330.0620207	330.4880207	1
335.0780565	0	Control	./Sounds/Island_CTRL.wav	338.9114022	339.3934022	1
343.9116118	0	Control	./Sounds/Scarf_CTRL.wav	348.1614456	348.8924456	1
353.1617807	0	Experimental	./Sounds/Pilot.wav	355.9954667	356.4874667	1
360.9948917	0	Control	./Sounds/Cactus_CTRL.wav	364.0610045	364.4620045	1
369.0616824	0	Control	./Sounds/Picnic_CTRL.wav	372.4285078	372.8755078	1
377.4286668	0	Experimental	./Sounds/Umbrella.wav	381.8949755	382.2899755	1
386.8945605	0	Control	./Sounds/Thermometer_CTRL.wav	390.1620986	390.6070986	1
395.1616596	0	Control	./Sounds/Penguin_CTRL.wav	399.2123654	399.7863654	1
404.2280845	0	Experimental	./Sounds/Scale.wav	407.8448093	408.2088093	1
412.8446434	0	Experimental	./Sounds/Picnic.wav	415.8125924	416.3065924	1
420.8118395	0	Control	./Sounds/Root_CTRL.wav	425.0952543	425.6082543	1
430.0949511	0	Control	./Sounds/Petrol_CTRL.wav	433.0285505	433.6135505	1
