onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.50972831	0	Experimental	./Sounds/Motorcyc.wav	6.6652254	7.7122254	1	motorbike
11.68372161	0	Experimental	./Sounds/LION.wav	14.5561662	15.3781662	1	lion
19.56959901	0	Control	./Sounds/THUNDER_CTRL.wav	24.403816	25.230816	1	noise
29.40044691	0	Experimental	./Sounds/ZIPPER.wav	31.2464633	32.3464633	1	zip
36.26405591	0	Experimental	./Sounds/bicycle.wav	37.7722652	39.4572652	0	don't know
42.78255531	0	Control	./Sounds/Wolf_CTRL.wav	47.2055505	47.9875505	1	noise
52.19511421	0	Experimental	./Sounds/Sandpapr.wav	54.4546548	55.4826548	0	don't know
59.44951021	0	Experimental	./Sounds/GARGLING.wav	63.2377688	63.8007688	1	gargle
68.24834891	0	Control	./Sounds/turkey_CTRL.wav	69.8568355	70.9438355	1	noise
74.84862151	0	Experimental	./Sounds/Banjo.wav	80.0563436	80.9013436	1	ukulele
85.06433541	0	Control	./Sounds/DUCK_CTRL.wav	88.5753732	89.3193732	1	noise
93.57231341	0	Experimental	./Sounds/TRUMPET.wav	96.0631674	96.8881674	1	trumpet
101.0560534	0	Experimental	./Sounds/SHEEP.wav	102.6860347	103.6300347	1	sheep
107.7138017	0	Control	./Sounds/bicycle_CTRL.wav	109.3309341	110.1469341	1	noise
114.3330021	0	Control	./Sounds/HARP_CTRL.wav	117.4275432	118.2235432	1	noise
122.4559987	0	Experimental	./Sounds/Wolf.wav	126.7749937	127.9239937	1	wolf
131.7821923	0	Control	./Sounds/TRUMPET_CTRL.wav	134.8723804	135.7213804	1	noise
139.8838349	0	Control	./Sounds/Woodpckr_CTRL.wav	142.1785208	143.0025208	1	noise
147.1979507	0	Experimental	./Sounds/HARP.wav	150.0863377	151.0083377	1	harp
155.0972339	0	Control	./Sounds/DONKEY_CTRL.wav	158.1782976	159.1632976	1	noise
163.1822059	0	Control	./Sounds/Flute_CTRL.wav	167.6531015	168.5331015	1	noise
172.6728607	0	Experimental	./Sounds/Crow.wav	176.2697038	176.8357038	1	crow
181.2713747	0	Experimental	./Sounds/piano.wav	183.3869655	184.3709655	1	piano
188.3887761	0	Control	./Sounds/BURP_CTRL.wav	190.1544259	190.8044259	1	noise
195.1488017	0	Experimental	./Sounds/SAX.wav	201.6738082	202.9108082	1	saxophone
206.6649736	0	Control	./Sounds/whip_CTRL.wav	208.5751346	209.1251346	1	noise
213.5802422	0	Control	./Sounds/guitar_CTRL.wav	215.7902856	n/a	0	...oise
220.780412	0	Experimental	./Sounds/OWL.wav	223.2045865	224.1035865	1	owl
228.2229632	0	Control	./Sounds/SNEEZE_CTRL.wav	229.7215325	230.7385325	1	noise
234.6968378	0	Experimental	./Sounds/Flute.wav	239.6892805	240.5052805	1	flute
244.6974221	0	Control	./Sounds/SCREAM_CTRL.wav	246.9950444	248.1480444	1	noise
251.9989864	0	Control	./Sounds/LION_CTRL.wav	255.08924	256.26624	1	noise
260.0994102	0	Experimental	./Sounds/guitar.wav	261.9044038	263.0224038	1	guitar
266.9157676	0	Control	./Sounds/Clapping_CTRL.wav	269.7063126	270.8213126	1	noise
274.7080745	0	Control	./Sounds/SAX_CTRL.wav	280.9197685	281.7347685	1	noise
285.9329812	0	Experimental	./Sounds/Ocean.wav	293.4239351	294.5229351	0	don't know
298.422365	0	Control	./Sounds/Banjo_CTRL.wav	303.5461668	304.4181668	1	noise
308.5502472	0	Control	./Sounds/Whistle_CTRL.wav	310.8537217	311.6037217	1	noise
315.8480694	0	Experimental	./Sounds/gong.wav	317.9573284	318.7693284	1	gong
322.9484998	0	Control	./Sounds/Ocean_CTRL.wav	330.4405079	331.3605079	1	noise
335.457104	0	Control	./Sounds/OWL_CTRL.wav	338.0724107	339.0404107	1	noise
343.062732	0	Experimental	./Sounds/BOWLING.wav	349.1703638	349.8963638	1	bowling
354.1874054	0	Experimental	./Sounds/DONKEY.wav	357.753527	358.409527	1	donkey
362.7637637	0	Control	./Sounds/Toilet_CTRL.wav	368.3642988	369.6272988	1	noise
373.3623967	0	Control	./Sounds/helicopter_CTRL.wav	375.5737835	376.5747835	1	noise
380.5824127	0	Experimental	./Sounds/THUNDER.wav	385.8201425	386.7721425	1	thunder
390.833755	0	Control	./Sounds/gong_CTRL.wav	392.7393277	393.6683277	1	noise
397.7445607	0	Control	./Sounds/DOORBELL_CTRL.wav	400.5547739	401.6657739	1	noise
405.5482113	0	Experimental	./Sounds/HARMONCA.wav	411.1058365	411.9508365	1	harmonica
416.1154036	0	Control	./Sounds/Motorcyc_CTRL.wav	421.0575786	421.9265786	1	noise
