onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.52173364	0	Control	./Sounds/DONKEY_CTRL.wav	5.188137	5.906137	1	noise
10.18827154	0	Control	./Sounds/VIOLIN_CTRL.wav	15.0382061	16.0012061	1	noise
20.03821934	0	Experimental	./Sounds/ROOSTER.wav	23.4378136	24.1438136	1	rooster
28.43813104	0	Control	./Sounds/Bagpipes_CTRL.wav	32.4046335	33.2136335	1	noise
37.40520294	0	Experimental	./Sounds/DONKEY.wav	40.9708937	41.7038937	1	donkey
45.97158374	0	Experimental	./Sounds/Toilet.wav	51.7543354	52.4143354	1	toilet
56.75535154	0	Control	./Sounds/Whistle_CTRL.wav	58.1372237	58.9812237	1	noise
63.13797304	0	Control	./Sounds/TRUMPET_CTRL.wav	66.0046021	66.6886021	1	noise
71.02092524	0	Experimental	./Sounds/helicopter.wav	73.12166	73.72866	1	helicopter
78.12177684	0	Control	./Sounds/DOORBELL_CTRL.wav	80.4043882	81.2413882	1	noise
85.40412154	0	Control	./Sounds/HARMONCA_CTRL.wav	90.4547873	91.2477873	1	noise
95.45538714	0	Experimental	./Sounds/snore.wav	97.7542521	98.7342521	0	don't know
102.7549781	0	Control	./Sounds/BOWLING_CTRL.wav	108.154996	108.926996	1	noise
113.1517275	0	Experimental	./Sounds/Clapping.wav	116.4384818	117.0044818	1	clapping
121.4386074	0	Control	./Sounds/bicycle_CTRL.wav	123.2345592	123.9355592	1	noise
128.2380566	0	Control	./Sounds/Toilet_CTRL.wav	133.520155	134.241155	1	noise
138.5216152	0	Experimental	./Sounds/SNEEZE.wav	140.1049742	140.8049742	1	sneeze
145.1015244	0	Experimental	./Sounds/guitar.wav	146.6877341	147.3777341	1	guitar
151.6881922	0	Control	./Sounds/SNEEZE_CTRL.wav	153.6713267	154.3143267	1	noise
158.6714501	0	Experimental	./Sounds/Motorcyc.wav	163.6050009	164.3060009	1	motorbike
168.6054098	0	Control	./Sounds/SCREAM_CTRL.wav	170.2881817	171.0181817	1	noise
175.2880678	0	Control	./Sounds/Baskball_CTRL.wav	179.0215964	179.6445964	1	noise
184.0183547	0	Experimental	./Sounds/TRUMPET.wav	187.1047943	187.6467943	1	trumpet
192.1055897	0	Experimental	./Sounds/SHEEP.wav	193.9383258	194.4613258	1	sheep
198.9382173	0	Control	./Sounds/tambourine_CTRL.wav	200.938738	201.628738	1	noise
205.9383157	0	Experimental	./Sounds/monkey.wav	207.4383253	208.1653253	1	monkeys
212.4385933	0	Experimental	./Sounds/HARMONCA.wav	217.9885527	218.6755527	1	harmonica
222.9887175	0	Control	./Sounds/frog_CTRL.wav	225.2884853	226.0044853	1	noise
230.2887362	0	Experimental	./Sounds/VIOLIN.wav	235.3515959	235.9765959	1	violin
240.3388072	0	Experimental	./Sounds/chicken.wav	242.037256	242.649256	1	chicken
247.0381769	0	Control	./Sounds/BURP_CTRL.wav	247.888317	248.676317	1	noise
252.8883553	0	Experimental	./Sounds/LION.wav	255.9545059	256.6295059	1	lion
260.9550307	0	Experimental	./Sounds/SCREAM.wav	263.238196	263.761196	1	scream
268.2387039	0	Control	./Sounds/monkey_CTRL.wav	270.3384174	270.9984174	1	noise
275.3383788	0	Experimental	./Sounds/DOORBELL.wav	278.521725	279.181725	1	doorbell
283.5219361	0	Experimental	./Sounds/Wolf.wav	287.9203241	288.5633241	1	wolf
292.9219526	0	Control	./Sounds/guitar_CTRL.wav	294.918423	295.670423	1	noise
299.9216794	0	Experimental	./Sounds/OWL.wav	302.6215303	303.3555303	1	owl
307.6214954	0	Experimental	./Sounds/clock.wav	309.2213633	310.0203633	1	clock
314.2215928	0	Control	./Sounds/SHEEP_CTRL.wav	315.95465	316.69665	1	noise
320.955531	0	Control	./Sounds/GARGLING_CTRL.wav	324.5380007	325.2780007	1	noise
329.5386186	0	Experimental	./Sounds/turkey.wav	331.9381236	332.6691236	1	turkey
336.9385776	0	Control	./Sounds/Motorcyc_CTRL.wav	341.3712946	342.2282946	1	noise
346.3721031	0	Control	./Sounds/parrot_CTRL.wav	347.8715327	348.6845327	1	noise
352.8718584	0	Experimental	./Sounds/BOWLING.wav	358.8716032	359.4866032	1	bowling
363.8720686	0	Control	./Sounds/DUCK_CTRL.wav	368.1715938	368.9915938	1	noise
373.1716981	0	Control	./Sounds/SAX_CTRL.wav	379.7881142	380.7931142	1	noise
384.7883424	0	Experimental	./Sounds/ZIPPER.wav	387.0217364	387.6807364	1	zipper
392.0218699	0	Control	./Sounds/Crow_CTRL.wav	395.6211681	396.3541681	1	noise
400.6221256	0	Control	./Sounds/footsteps_CTRL.wav	402.4215762	403.4385762	1	noise
