onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy	verbal_response
1.51368391	0	Control	./Sounds/Dishwasher_CTRL.wav	5.8469283	6.7079283	1	noise
10.84724981	0	Experimental	./Sounds/Goggles.wav	14.3635845	15.0915845	1	goggles
19.36399031	0	Experimental	./Sounds/Crown.wav	22.6966981	23.3716981	1	crown
27.69693771	0	Control	./Sounds/Boil_CTRL.wav	31.646787	32.616787	1	noise
36.64709781	0	Control	./Sounds/Razor_CTRL.wav	39.3299748	40.1469748	1	noise
44.33073131	0	Experimental	./Sounds/Casino.wav	48.3972738	49.9852738	1	casino
53.39676941	0	Control	./Sounds/Petrol_CTRL.wav	56.5300009	57.1520009	1	noise
61.53047211	0	Control	./Sounds/Menu_CTRL.wav	65.4133932	66.1373932	1	noise
70.41388481	0	Experimental	./Sounds/Grass.wav	73.631738	75.804738	0	don't know
78.63082181	0	Control	./Sounds/Scale_CTRL.wav	82.0434154	82.7254154	1	noise
87.04731481	0	Experimental	./Sounds/Pillow.wav	90.8966022	91.6346022	1	pillow
95.89698591	0	Experimental	./Sounds/Penguin.wav	99.3469661	99.9999661	1	penguin
104.3470798	0	Control	./Sounds/Cactus_CTRL.wav	107.7137236	108.3567236	1	noise
112.7140513	0	Experimental	./Sounds/Sharpen.wav	117.530228	118.307228	1	sharpen
122.5309407	0	Experimental	./Sounds/Library.wav	125.3628889	126.1308889	1	library
130.363996	0	Control	./Sounds/Tattoo_CTRL.wav	134.5301436	135.6271436	1	noise
139.5276164	0	Control	./Sounds/Ax_CTRL.wav	142.7799977	143.8489977	1	noise
147.7796111	0	Experimental	./Sounds/Root.wav	151.6637618	152.4427618	1	root
156.6639588	0	Experimental	./Sounds/Bridge.wav	160.8472148	161.6162148	1	bridge
165.8473605	0	Control	./Sounds/Straw_CTRL.wav	170.1435244	170.9815244	1	noise
175.1439055	0	Experimental	./Sounds/Microphone.wav	180.0265753	180.7115753	1	microphone
185.0267708	0	Experimental	./Sounds/Wrinkle.wav	189.3763996	189.9963996	1	wrinkle
194.3768372	0	Control	./Sounds/Mustache_CTRL.wav	198.8934951	199.7404951	1	noise
203.8969957	0	Experimental	./Sounds/Puddle.wav	207.7470498	208.6710498	1	puddle
212.7306281	0	Control	./Sounds/Microphone_CTRL.wav	217.5286754	218.2496754	1	noise
222.5305579	0	Experimental	./Sounds/Umbrella.wav	227.0969567	227.6789567	1	umbrella
232.097164	0	Experimental	./Sounds/Submarine.wav	236.0466156	236.7326156	1	submarine
241.0472775	0	Control	./Sounds/Napkin_CTRL.wav	244.0304897	244.9524897	1	noise
249.030245	0	Experimental	./Sounds/Escalator.wav	251.8139154	252.4399154	1	escalator
256.8139702	0	Control	./Sounds/Submarine_CTRL.wav	261.1633049	261.9353049	1	noise
266.1640321	0	Control	./Sounds/Sharpen_CTRL.wav	270.8805588	271.5535588	1	noise
275.8807216	0	Experimental	./Sounds/Dictionary.wav	280.2969602	281.0589602	1	dictionary
285.2974224	0	Control	./Sounds/Crown_CTRL.wav	288.230448	288.897448	1	noise
293.2307615	0	Experimental	./Sounds/Boil.wav	297.880267	298.581267	1	boil
302.8803086	0	Experimental	./Sounds/Elbow.wav	305.8456959	306.4556959	1	elbow
310.8473874	0	Control	./Sounds/Dragon_CTRL.wav	315.0641852	316.1671852	1	noise
320.0639311	0	Experimental	./Sounds/Petrol.wav	323.1971124	324.2081124	1	fuel
328.1976429	0	Control	./Sounds/Elbow_CTRL.wav	331.4644193	332.4104193	1	noise
336.464322	0	Experimental	./Sounds/Kite.wav	340.9472995	341.6952995	1	kite
345.9479504	0	Experimental	./Sounds/Menu.wav	349.3306005	349.9966005	1	menu
354.3304155	0	Control	./Sounds/Atlas_CTRL.wav	357.8807242	358.6607242	1	noise
362.881006	0	Experimental	./Sounds/Envelope.wav	367.3635645	368.2035645	1	envelope
372.3643567	0	Experimental	./Sounds/Dragon.wav	375.980689	376.777689	1	dragon
380.9810476	0	Control	./Sounds/Wrinkle_CTRL.wav	385.2306556	385.9986556	1	noise
390.2297119	0	Experimental	./Sounds/Kitchen.wav	394.0636718	394.8596718	1	kitchen
399.0647932	0	Experimental	./Sounds/Camel.wav	402.8806408	403.7306408	1	camel
407.8814412	0	Control	./Sounds/Escalator_CTRL.wav	411.4636297	411.9976297	1	noise
416.4470775	0	Experimental	./Sounds/Claw.wav	420.8643565	421.4013565	1	claw
425.8809393	0	Control	./Sounds/Goggles_CTRL.wav	429.3975778	430.2855778	1	noise
434.3976372	0	Control	./Sounds/Library_CTRL.wav	438.0306505	438.8236505	1	noise
